"category_id","category_name"
13909,Utility & Black Glass
173615,Palestine
38045,Beers
175772,Dress Shirts
90661,Sealyham Terrier
156435,Japan
29422,Irish Wolfhound
259068,Cameras
181355,Other Baseball & Softball
159176,Women
58061,Pitching Machines
63518,"Fireplaces, Mantels & Fireplace Accessories"
259131,Comic Book Boards
262369,Casseroles
165871,Southeast Asia
106128,Other Bridal Accessories
57019,Fire Extinguishers
179779,Hand Wraps
48318,Water
185045,Smart Light Bulbs
183563,Category 4
257864,Surgical Gowns
46305,"Brushes, Combs & Rakes"
67701,Ring
2596,Applause
162178,Uruguay
179342,Turkmenistan
98972,Flight Socks
179962,Attractants & Scents
163871,Hoodies & Sweatshirts
7309,Other Vintage Hunting
259219,Storm Windows
258214,Screw Thread Insert Taps
177739,Sterilizers & Towel Warmers
158442,Lighters
163826,Video Glasses
37991,Bowls
36454,Massage Tables & Chairs
71178,Wooden Pieces
184144,Hydraulic Manifolds
129085,Ground Fault Interrupters & RCDs
85980,Godsmack
149382,"Carnivals, Fairs"
48559,Sunglasses
260123,Restrictors & Orifices
173620,Empire (1871-1918)
14062,Hat Boxes
12517,Russia
263018,Building Toy Storage & Display
1447,Other Christian Collectibles
86207,Unisex
58270,Projector Bulbs
163974,Atreyu
259841,Drain Grates
35677,Signs
184083,Pond & Fountain Pumps
183622,Category 20
172511,Stabilizers
50740,Corona
165592,Correspondence
259148,Card Sleeves & Bags
260096,R-427a
152364,Leggings & Tights
184290,Conveyor Belts
58300,Computer Cable Testers
103481,Digital Scrapbooking
171524,Lincoln Bicentennial (2009)
115945,"Key Safes, Boxes & Hideaways"
2527,Little People (1963-1996)
65507,Development Kits & Boards
104422,Theater
155354,Reproductions
69510,Gibraltar
120869,Book Lights
182043,Shirts & Tops
165481,"Prints, Posters & Paintings"
83906,Crochet Thread
53261,Other Guns N' Roses Mem
91330,Christmas Crackers
173626,Guatemala
165649,Unbranded
163997,Dream Theater
164786,"Unspecified, Unknown Date"
10875,Lizards
184123,Selector Valves
37969,Maritime Lamps & Lighting
83907,Hand Crocheted Doilies
20845,Sights
151737,Other Antique Non-U.S. Silver
108723,Reggae & Ska
168104,GPS Screen Protectors
185204,Diode Lasers
37986,Cups & Goblets
36275,Air Hockey
37851,Pheasants
63756,Other Individual Casino Chips
149960,VHS Video Tapes
73230,Singapore (1824-1963)
36137,Pedals
3361,Other Silver Bullion
41509,Decorative Fans
91954,Harvesting Equipment
109422,Tag Guns
150061,Hair Accessory Findings
159680,Embedded Processors & Controllers
97073,Balls
11210,Server Memory (RAM)
260023,Outerwear
179534,Modern Gold (1984-Now)
167968,Mauritius
261761,Air Pumps
178181,Category 16
259014,Other Commercial Warming Equipment
785,Babylon 5
20749,Topical Flea & Tick Remedies & Collars
75038,"Cough, Cold & Flu"
257805,"Contouring, Polishing & Finishing Strips"
134784,Lacemaking Shuttles
260089,R-409a
262048,Sticker Lots
118810,Packing List Envelopes
183097,Primers & Sealers
156328,Needles & Cases
2830,Other Autographed Boxing Items
258143,Sandpaper Sheet Rolls
184173,Other Conveyor Parts
167982,Mini Whinnies
180992,Awnings & Canopies
63821,Film Stock
51082,Memory Card Readers & Adapters
22779,Air Grease & Sealant Guns
10795,Starbucks
31787,Eyeliner
39976,Tape & Data Cartridge Drives
50711,Patches
178052,Canning Supplies
165564,Veterinary Medicine
131411,Sunglasses
41204,Easels
168208,Other Organization Stamps
126439,Door Viewers
185174,AED Trainers & Training Pads
119128,Highlighters
73212,Nauru (until 1968)
